,created_by,created_date,deleted_by,deleted_date,is_deleted,modified_by,modified_date,incident_count,incident_date_gmt,incident_date_local,incident_hour_gmt,incident_hour_local,incident_label_count,incident_val_avg,incident_val_max,incident_val_min,incident_val_sum,camera_id,city_id,customer_id,incident_id,location_id,subsite_id,usecase_id,zone_id
109,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-11-01,2023-11-01,09,09,1,1.0,1,1,1,9,4.0,2,3,4,4,4,4
110,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,10,10,2,1.0,1,1,2,9,4.0,2,3,4,4,4,4
111,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,11,11,2,2.5,4,1,5,9,4.0,2,3,4,4,4,4
112,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,12,12,2,1.0,1,1,2,9,4.0,2,3,4,4,4,4
113,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-11-01,2023-11-01,13,13,3,1.0,1,1,3,9,4.0,2,3,4,4,4,4
114,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,18,18,2,1.0,1,1,2,9,4.0,2,3,4,4,4,4
115,1,1698913022000,1,1698913022000,0,1,1698913022000,38,2023-11-01,2023-11-01,02,02,38,0.0,0,0,0,10,4.0,2,9,4,4,6,4
116,1,1698913022000,1,1698913022000,0,1,1698913022000,71,2023-11-01,2023-11-01,03,03,71,0.0,0,0,0,10,4.0,2,9,4,4,6,4
117,1,1698913022000,1,1698913022000,0,1,1698913022000,35,2023-11-01,2023-11-01,04,04,35,0.0,0,0,0,10,4.0,2,9,4,4,6,4
118,1,1698913022000,1,1698913022000,0,1,1698913022000,62,2023-11-01,2023-11-01,05,05,62,0.0,0,0,0,10,4.0,2,9,4,4,6,4
119,1,1698913022000,1,1698913022000,0,1,1698913022000,53,2023-11-01,2023-11-01,06,06,53,0.0,0,0,0,10,4.0,2,9,4,4,6,4
120,1,1698913022000,1,1698913022000,0,1,1698913022000,34,2023-11-01,2023-11-01,07,07,34,0.0,0,0,0,10,4.0,2,9,4,4,6,4
121,1,1698913022000,1,1698913022000,0,1,1698913022000,75,2023-11-01,2023-11-01,08,08,75,0.0,0,0,0,10,4.0,2,9,4,4,6,4
122,1,1698913022000,1,1698913022000,0,1,1698913022000,30,2023-11-01,2023-11-01,09,09,30,0.0,0,0,0,10,4.0,2,9,4,4,6,4
123,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-11-01,2023-11-01,10,10,6,0.0,0,0,0,10,4.0,2,9,4,4,6,4
124,1,1698913022000,1,1698913022000,0,1,1698913022000,63,2023-11-01,2023-11-01,11,11,63,0.0,0,0,0,10,4.0,2,9,4,4,6,4
125,1,1698913022000,1,1698913022000,0,1,1698913022000,66,2023-11-01,2023-11-01,12,12,66,0.0,0,0,0,10,4.0,2,9,4,4,6,4
126,1,1698913022000,1,1698913022000,0,1,1698913022000,48,2023-11-01,2023-11-01,13,13,48,0.0,0,0,0,10,4.0,2,9,4,4,6,4
127,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-11-01,2023-11-01,18,18,6,0.0,0,0,0,10,4.0,2,9,4,4,6,4
128,1,1698913022000,1,1698913022000,0,1,1698913022000,9,2023-11-01,2023-11-01,02,02,9,1.0,1,1,9,10,4.0,2,6,4,4,7,4
129,1,1698913022000,1,1698913022000,0,1,1698913022000,22,2023-11-01,2023-11-01,03,03,22,1.0,1,1,22,10,4.0,2,6,4,4,7,4
130,1,1698913022000,1,1698913022000,0,1,1698913022000,15,2023-11-01,2023-11-01,04,04,15,1.0,1,1,15,10,4.0,2,6,4,4,7,4
131,1,1698913022000,1,1698913022000,0,1,1698913022000,23,2023-11-01,2023-11-01,05,05,23,1685.0,38173,1,38755,10,4.0,2,6,4,4,7,4
132,1,1698913022000,1,1698913022000,0,1,1698913022000,17,2023-11-01,2023-11-01,06,06,17,1.0,1,1,17,10,4.0,2,6,4,4,7,4
133,1,1698913022000,1,1698913022000,0,1,1698913022000,12,2023-11-01,2023-11-01,07,07,12,1.0,1,1,12,10,4.0,2,6,4,4,7,4
134,1,1698913022000,1,1698913022000,0,1,1698913022000,22,2023-11-01,2023-11-01,08,08,22,1.0,1,1,22,10,4.0,2,6,4,4,7,4
135,1,1698913022000,1,1698913022000,0,1,1698913022000,10,2023-11-01,2023-11-01,09,09,10,1.0,1,1,10,10,4.0,2,6,4,4,7,4
136,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-11-01,2023-11-01,10,10,3,1.0,1,1,3,10,4.0,2,6,4,4,7,4
137,1,1698913022000,1,1698913022000,0,1,1698913022000,21,2023-11-01,2023-11-01,11,11,21,1.0,1,1,21,10,4.0,2,6,4,4,7,4
138,1,1698913022000,1,1698913022000,0,1,1698913022000,21,2023-11-01,2023-11-01,12,12,21,1.0,1,1,21,10,4.0,2,6,4,4,7,4
139,1,1698913022000,1,1698913022000,0,1,1698913022000,14,2023-11-01,2023-11-01,13,13,14,1.0,1,1,14,10,4.0,2,6,4,4,7,4
140,1,1698913022000,1,1698913022000,0,1,1698913022000,58,2023-11-01,2023-11-01,02,02,58,3.9482758620689653,6,1,229,10,4.0,2,10,4,4,9,4
141,1,1698913022000,1,1698913022000,0,1,1698913022000,35,2023-11-01,2023-11-01,03,03,35,2.942857142857143,13,1,103,10,4.0,2,10,4,4,9,4
